hospital_name,last_updated_on,hospital_address,description,payer_name,plan_name,estimated_amount,standard_charge|min,standard_charge|max
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Carefirst Blue Choice,Carefirst Blue Choice Hmo,474.25,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Carefirst Preferred,Carefirst Blue Cr/Sh,2094.75,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Carefirst Tpa,Carefirst Bc/Bs Tpa,2893.39,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Cigna,Wellfleet Cigna Jhu Student Health,1778.69,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Cigna,Cigna Allegiance,1125.43,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Cigna,Gwh-Cigna,1984.51,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Cigna,Cigna Regional Network/Oap/Pos/Localplus,2784.32,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Cigna,Cigna Shared Administration,1061.9,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Cigna Med Adv,Cigna Medicare Advantage Ppo,600.14,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Ehp,Ehp Employee Health Plan New 12/2022,1214.5,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Ehp,Ehp Jhcp Direct Primary Care Ppo 01/2023,1124.17,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Ppo Med Adv,1312.1,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Hmo Med Adv,455.17,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Maryland Physicians Care,Maryland Physicians Care Mco,2039.88,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Priority Partners,Priority Partners Mco New 9/2022,788.68,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,United Healthcare,United Healthcare Shared Services,892.55,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,United Healthcare,United Mdipa/Optimum Choice Hmo,469.51,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,United Healthcare,Geha-United Shared Services,1198.14,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,United Healthcare,United Healthcare Choice/Choice Plus/At,1103.84,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,United Healthcare,United Medical Resource (Umr),586.63,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,United Healthcare Med Adv,Aarp Medicare Complete Ppo,2.36,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,United Healthcare Med Adv,United Healthcare Grp Ind Med Adv Ppo,2032.13,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Diagnostic Tests and Related Services,Wellpoint,Wellpoint Md Mco,456.58,2.36,4149.86
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Aetna,Aetna Managed Choice Open Access,59.32,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Aetna,Aetna Open Choice Ppo/Other,1679.26,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Aetna,Aetna Choice Pos I And Ii,1696.55,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Aetna,Aetna Signature Administrators,60.67,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Aetna,Aetna Select Open Access,1796.13,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Aetna,Aetna Health Network Only,1614.55,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Aetna Better Health Mco,Aetna Better Health Of Maryland,1239.54,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Aetna Med Adv,Aetna Medicare Ppo,1639.87,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Blue Cr/Sh Fep,Blue Cr/Sh Fep Basic Ppo,1764.21,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Blue Cr/Sh Fep,Blue Cr/Sh Fep Standard Ppo,1730.7,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Blue Cr/Sh Nasco,Blue Cr/Sh National Acct,1750.41,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Ppo Other,1668.44,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Carefirst Admin,Carefirst Administrators Jhu Only,1640.36,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Carefirst Admin,Carefirst Administrators,1516.92,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Carefirst Blue Choice,Carefirst Blue Choice Advantage,1760.21,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Carefirst Blue Choice,Carefirst Blue Choice Open Access,1760.21,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Carefirst Blue Choice,Blue Cr/Sh Natl Accts Bluechoice,1668.44,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Carefirst Blue Choice,Carefirst Blue Choice Hmo,1760.21,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Carefirst Preferred,Carefirst Blue Cr/Sh,1668.44,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Carefirst Tpa,Carefirst Bc/Bs Tpa,1736.15,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Cigna,Cigna Regional Ppo/Epo/Oth,1753.17,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Cigna,Wellfleet Cigna Jhu Student Health,1667.6,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Cigna,Cigna Other,1584.19,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Cigna,Cigna Regional Network/Oap/Pos/Localplus,1760.21,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Cigna,Cigna Shared Administration,1668.44,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Cigna Med Adv,Cigna Medicare Advantage Ppo,1325.91,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Ehp,Ehp Employee Health Plan New 12/2022,1661.53,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Ehp,Ehp Jhcp Direct Primary Care Ppo 01/2023,907.07,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Ehp,Ehp Broadway Services New 12/2022,1856.05,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Humana Medicare Advantage,Humana Choice Ppo Med Adv,1538.83,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Ppo Med Adv,1475.03,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Hmo Med Adv,1260.22,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Kaiser,Kaiser Other,1799.78,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Maryland Physicians Care,Maryland Physicians Care Mco,1553.38,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Priority Partners,Priority Partners Mco New 9/2022,1477.76,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,United Healthcare,United Healthcare Navigate,1641.98,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,United Healthcare,United Healthcare Choice/Choice Plus/Sl,991.12,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,United Healthcare,United Healthcare Core,1822.62,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,United Healthcare,United Healthcare Hmo Select/Sel Plus/Sl,1778.17,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,United Healthcare,United Mdipa/Optimum Choice Hmo,1686.11,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,United Healthcare,Geha-United Shared Services,1682.94,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,United Healthcare,United Healthcare Choice/Choice Plus/At,1685.47,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,United Healthcare Mco,Uhc Community Plan Mco Md,1634.83,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,United Healthcare Med Adv,United Community Medicare Dual Snp,1374.82,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Diagnostic Tests and Related Services,Wellpoint,Wellpoint Md Mco,52.54,52.54,1856.05
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 1 Minor Procedures,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Ppo Other,629.84,278.04,9191.99
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 1 Minor Procedures,Carefirst Admin,Carefirst Administrators,5995.68,278.04,9191.99
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 1 Minor Procedures,Carefirst Blue Choice,Blue Cr/Sh Natl Accts Bluechoice,5279.04,278.04,9191.99
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 1 Minor Procedures,Ehp,Ehp Employee Health Plan New 12/2022,9191.99,278.04,9191.99
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 1 Minor Procedures,Priority Partners,Priority Partners Mco New 9/2022,278.04,278.04,9191.99
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 1 Minor Procedures,United Healthcare,United Healthcare Choice/Choice Plus/At,9129.83,278.04,9191.99
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,Aetna,Aetna Choice Pos I And Ii,313.53,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,Blue Cr/Sh Nasco,Blue Cr/Sh National Acct,356.94,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Ppo Other,940.26,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,Carefirst Blue Choice,Carefirst Blue Choice Advantage,312.88,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,Carefirst Blue Choice,Carefirst Blue Choice Open Access,314.2,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,Carefirst Blue Choice,Blue Cr/Sh Natl Accts Bluechoice,925.14,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,Cigna,Wellfleet Cigna Jhu Student Health,144.72,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,Cigna,Cigna Other,295.82,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,Cigna,Cigna Regional Network/Oap/Pos/Localplus,296.58,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,Cigna,Cigna Shared Administration,296.46,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,Cigna Med Adv,Cigna Medicare Advantage Ppo,205.76,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,Ehp,Ehp Employee Health Plan New 12/2022,382.08,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,Priority Partners,Priority Partners Mco New 9/2022,177.51,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,United Healthcare,United Healthcare Choice/Choice Plus/Sl,292.89,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,United Healthcare,United Healthcare Other,229.07,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,United Healthcare,United Mdipa/Optimum Choice Hmo,299.6,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,United Healthcare,United Healthcare Choice/Choice Plus/At,323.33,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 2 Minor Procedures,United Healthcare Med Adv,United Healthcare Grp Ind Med Adv Ppo,267.22,144.72,940.26
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Aetna,Aetna Innovation Health,83.38,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Aetna,Aetna Choice Pos I And Ii,181.59,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Aetna,Aetna Select Open Access,166.54,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Aetna,Aetna Health Network Only,1080.7,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Aetna Med Adv,Aetna Medicare Hmo,3545.14,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Aetna Med Adv,Aetna Medicare Ppo,162.47,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Blue Cr/Sh Fep,Blue Cr/Sh Fep Focus Ppo,639.65,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Blue Cr/Sh Fep,Blue Cr/Sh Fep Basic Ppo,84.5,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Blue Cr/Sh Fep,Blue Cr/Sh Fep Standard Ppo,117.15,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Blue Cr/Sh Med Adv,Blue Cr/Sh Med Adv Oos,101.63,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Blue Cr/Sh Nasco,Blue Cr/Sh National Acct,88.2,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Ppo Other,128.55,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Carefirst Admin,Carefirst Administrators Jhu Only,179.77,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Carefirst Blue Choice,Carefirst Blue Choice Advantage,178.35,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Carefirst Blue Choice,Carefirst Blue Choice Open Access,151.62,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Carefirst Blue Choice,Blue Cr/Sh Natl Accts Bluechoice,87.96,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Carefirst Preferred,Carefirst Blue Cr/Sh,308.13,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Cigna,Wellfleet Cigna Jhu Student Health,85.34,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Cigna,Cigna Other,46,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Cigna,Cigna Regional Network/Oap/Pos/Localplus,343,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Cigna,Cigna Shared Administration,173.84,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Ehp,Ehp Employee Health Plan New 12/2022,88.38,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Geisinger Medicare Advantage,Geisinger Gold Medicare Advantage Ppo,202.46,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Humana Medicare Advantage,Humana Choice Ppo Med Adv,81.24,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Ppo Med Adv,79.26,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Hmo Med Adv,533.2,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Premier Ppo,124.94,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Maryland Physicians Care,Maryland Physicians Care Mco,80.7,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Md Ma Behavioral Health,Carelon Behavioral Health,170.87,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Priority Partners,Priority Partners Mco New 9/2022,77.91,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,United Healthcare,United Healthcare Shared Services,154.72,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,United Healthcare,United Mdipa/Optimum Choice Hmo,88.86,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,United Healthcare,Geha-United Shared Services,191.84,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,United Healthcare,United Healthcare Choice/Choice Plus/At,420.44,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,United Healthcare Med Adv,United Healthcare Grp Ind Med Adv Ppo,202.05,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 3 Minor Procedures,Wellpoint,Wellpoint Md Mco,2033.6,46,3545.14
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Minor Procedures,Aetna,Aetna Elect Choice Open Access,55.03,55.03,9679.94
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Minor Procedures,Aetna,Aetna Managed Choice Open Access,734.39,55.03,9679.94
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Minor Procedures,Aetna,Aetna Open Choice Ppo/Other,754.66,55.03,9679.94
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Minor Procedures,Aetna,Aetna Choice Pos I And Ii,555.04,55.03,9679.94
Johns Hopkins Bayview Medical Center,7/1/2025,"4940 Eastern Avenue, Baltimore, MD 21224",Level 4 Minor Procedures,Aetna,Aetna Select Open Access,175.17,55.03,9679.94
