hospital_name,last_updated_on,hospital_address,description,payer_name,plan_name,estimated_amount,standard_charge|min,standard_charge|max
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Other Ear, Nose, Mouth And Throat O.R. Procedures With Cc",Empire,Ppo,40360.48,40360.48,40360.48
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Other Ear, Nose, Mouth And Throat O.R. Procedures Without Cc/Mcc",United Healthcare,Commercial,59130.96,59130.96,59130.96
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Dysequilibrium,Aetna,Commercial,11351.09,1575,14718.05
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Dental And Oral Diseases With Mcc,Cigna,Medicare Advantage,15850.4,15850.4,15850.4
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Dental And Oral Diseases With Cc,Empire,Ppo,12881.99,12881.99,12881.99
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Pulmonary Embolism With Mcc Or Acute Cor Pulmonale,United Healthcare,Medicare Advantage,13824.42,13824.42,13824.42
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Pulmonary Embolism Without Mcc,Cigna,Hmo,2007.5,2007.5,31236.08
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Respiratory Infections And Inflammations With Mcc,Aetna,Medicare Advantage,16095.16,1448,16095.16
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Respiratory Infections And Inflammations With Cc,Aetna,Medicare Advantage,9856.8,9856.8,11173.68
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Pulmonary Edema And Respiratory Failure,Aetna,Medicare Advantage,12102.4,12102.4,12165.63
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Chronic Obstructive Pulmonary Disease With Mcc,Aetna,Medicare Advantage,11040.5,3816.57,18007.31
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Chronic Obstructive Pulmonary Disease With Cc,Aetna,Medicare Advantage,8558.77,8558.77,23292.78
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Simple Pneumonia And Pleurisy With Mcc,Aetna,Medicare Advantage,12854.71,1945,35855.62
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Simple Pneumonia And Pleurisy With Cc,Aetna,Medicare Advantage,8192.41,3451.12,32250.52
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Simple Pneumonia And Pleurisy Without Cc/Mcc,United Healthcare,Commercial,20713.65,20713.65,20713.65
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Interstitial Lung Disease With Cc,Empire,Individual Network,32027,10718.32,32027
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Interstitial Lung Disease Without Cc/Mcc,Fidelis,Medicaid,3509.07,3509.07,3509.07
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Pneumothorax With Cc,Emblem,Medicaid,15965.24,7733.24,15965.24
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Pneumothorax Without Cc/Mcc,Fidelis,Medicaid,21897.29,3590.21,21897.29
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Bronchitis And Asthma With Cc/Mcc,Aetna,Commercial,11351.09,4085.25,11351.09
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Bronchitis And Asthma Without Cc/Mcc,Wellcare,Medicare Advantage,1215,1215,1215
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Respiratory Signs And Symptoms,Amida Care,Medicaid,3600.27,3600.27,7700.98
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Respiratory System Diagnosis With Ventilator Support >96 Hours,Healthfirst,Medicaid,7247.38,7247.38,7247.38
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Percutaneous Cardiovascular Procedures With Non-Drug-Eluting Stent With Mcc Or 4+ Arteries Or Stents,Metroplus,Essential Plan 1-2,26575.61,26575.61,26575.61
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Percutaneous Cardiovascular Procedures Without Intraluminal Device Without Mcc,Metroplus,Medicaid,8677.11,8677.11,8677.11
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Vascular Procedures With Cc,Healthfirst,Medicaid,4644.15,4644.15,4644.15
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Vascular Procedures Without Cc/Mcc,Healthfirst,Medicaid,2812.94,2812.94,2812.94
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Major Cardiovascular Procedures With Cc,United Healthcare,Medicare Advantage,16900.56,16900.56,16900.56
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Acute Myocardial Infarction, Discharged Alive With Mcc",Aetna,Commercial,48621,1575,48621
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Acute Myocardial Infarction, Discharged Alive With Cc",Empire,Hmo,4294,4294,31863.76
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Acute Myocardial Infarction, Discharged Alive Without Cc/Mcc",Aetna,Commercial,22784.4,3354.23,22784.4
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Circulatory Disorders Except Ami, With Cardiac Catheterization With Mcc",Humana,Medicare Advantage,21276.01,21276.01,21276.01
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Circulatory Disorders Except Ami, With Cardiac Catheterization Without Mcc",1199 Seiu,Commercial,20948.43,1277.5,41790
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Heart Failure And Shock With Mcc,Aetna,Medicare Advantage,12733.86,1800,27736.29
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Peripheral Vascular Disorders With Mcc,Aetna,Commercial,52957.87,9769.16,52957.87
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Peripheral Vascular Disorders With Cc,Aetna,Commercial,6897.92,6897.92,10539.98
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Peripheral Vascular Disorders Without Cc/Mcc,Empire,Ppo,4503.51,4503.51,4503.51
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Hypertension Without Mcc,Aetna,Medicare Advantage,7536.27,1575,21133
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Cardiac Congenital And Valvular Disorders Without Mcc,Humana,Medicare Advantage,9630.55,9630.55,9630.55
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Cardiac Arrhythmia And Conduction Disorders With Mcc,Aetna,Commercial,38265.26,11807.34,38265.26
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Cardiac Arrhythmia And Conduction Disorders With Cc,Aetna,Commercial,11351.09,7579.03,11351.09
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Cardiac Arrhythmia And Conduction Disorders Without Cc/Mcc,United Healthcare,Commercial,21456.83,21456.83,21456.83
